param_count,duration,processor,num_epochs,learning_rate
104250     ,3641.14 ,GPU      ,2000      ,0.00010
104250     ,3710.25 ,GPU      ,2000      ,0.00100
104250     ,3652.35 ,GPU      ,2000      ,0.01
104250     ,648.02  ,GPU      ,350       ,0.1
104250     ,3603.63 ,GPU      ,2000      ,0.1
52258      ,360.17  ,GPU      ,250       ,0.01
104250     ,459.22  ,GPU      ,250       ,0.01
440394     ,1115.54 ,GPU      ,250       ,0.01
953098     ,1993.24 ,GPU      ,250       ,0.01
211690     ,602.63  ,GPU      ,250       ,0.01
52258      ,2269.29 ,CPU      ,250       ,0.01
440394     ,5324.52 ,CPU      ,250       ,0.01
211690     ,4237.11 ,CPU      ,250       ,0.01
104250     ,3779.60 ,CPU      ,250       ,0.01
2199690    ,4240.31 ,GPU      ,250       ,0.01
